County,Count
Allen,8755
Anderson,5632
Atchison,11610
Barber,2909
Barton,16555
Bourbon,12478
Brown,6553
Butler,47869
Chase,1838
Chautauqua,2525
Cherokee,15131
Cheyenne,2013
Clark,1556
Clay,5815
Cloud,5979
Coffey,6119
Comanche,1144
Cowley,20382
Crawford,27124
Decatur,2005
Dickinson,13445
Doniphan,4900
Douglas,80036
Edwards,1852
Elk,1862
Ellis,19923
Ellsworth,3847
Finney,21830
Ford,16354
Franklin,18735
Geary,19486
Gove,1883
Graham,1771
Grant,3754
Gray,3329
Greeley,879
Greenwood,4554
Hamilton,1314
Harper,3724
Harvey,22912
Haskell,2164
Hodgeman,1288
Jackson,9228
Jefferson,13482
Jewell,2168
Johnson,463140
Kearny,2200
Kingman,5440
Kiowa,1522
Labette,13411
Lane,1128
Leavenworth,54526
Lincoln,2111
Linn,7463
Logan,1882
Lyon,20300
Marion,8117
Marshall,7130
McPherson,18982
Meade,3410
Miami,26158
Mitchell,4163
Montgomery,20786
Morris,3956
Morton,2024
Nemaha,7404
Neosho,11431
Ness,1925
Norton,3364
Osage,12246
Osborne,2632
Ottawa,3715
Pawnee,3837
Phillips,3959
Pottawatomie,17705
Pratt,5496
Rawlins,1960
Reno,42248
Republic,3490
Rice,6469
Riley,38363
Rooks,3653
Rush,2185
Russell,4610
Saline,36525
Scott,3483
Sedgwick,335740
Seward,10877
Shawnee,116241
Sheridan,1832
Sherman,3778
Smith,2783
Stafford,2612
Stanton,1046
Stevens,3279
Sumner,16935
Thomas,5347
Trego,2040
Wabaunsee,5272
Wallace,1138
Washington,3590
Wichita,1383
Wilson,4840
Woodson,2195
Wyandotte,91695
