text_name_first,Count
,10
'Tony' Anthony,1
A,179
A' Jah,1
A'aeowyn,1
A'avion,1
A'breshanay,1
A'brianna,1
A'chantee,1
A'dana,1
A'darion,1
A'deana,1
A'Delma,1
A'Doniai,1
A'kia,1
A'kyra,1
A'La Mia,1
A'laina,1
A'lana,1
A'lasia,1
A'layah,1
A'Lecia,1
A'leecya,1
A'liyah,1
A'llante,1
A'maiya,1
A'mar,1
A'marvionna,1
A'maryha,1
A'meir,1
A'mericea,1
A'mia,2
A'Mir,1
A'mya,1
A'narra,1
A'Nessa,1
A'niah,1
A'niecia,1
A'nya,1
A'nyia,1
A'piffany,1
A'Santi,1
A'sariah,1
A'soni',1
A'taya,1
A'treal,1
A'zaun,1
A A Ogochukwu,1
A B,1
A B M,1
A Chao,1
A Drummond,1
A E,1
A Ellen,1
A J,4
A Josef,1
A K M Mahfuzul,1
A Lynn,1
A Martin,1
A Melisa,1
A S,1
A Scott,1
A.,5
A. R.,1
A.W.,1
Aa'leria,1
Aabel,1
Aabha,1
Aabryana,1
Aaden,2
Aadeonna,1
Aadesh,1
Aadhar,1
Aadil,2
Aaditya,2
Aadrian,1
Aadriane,1
Aadric,1
Aahil,1
Aahliya,1
Aahna,1
Aahnix,1
Aahu,1
Aajae,1
Aakanksha,1
Aakash,5
Aake,1
Aakriti,2
Aakshi,1
Aalaijah,1
Aalani,1
Aalayah,3
Aaleb,1
Aalene,1
Aaleya,1
Aaleyah,2
Aali,1
Aalia,2
Aaliah,1
Aalijah,2
Aaliya,1
Aaliyah,122
Aaliyahmarie,1
Aaliyana,1
Aaliyia,1
Aalizah,1
Aalyiah,1
Aalysia,1
Aalyson,1
Aamanda,1
Aamaris,1
Aamaya,1
Aamer,3
Aamina,1
Aamir,4
Aamna,1
Aamon,1
Aamoy,1
Aamyah,1
Aamyiah,1
Aanaiyah,1
Aanchal,2
Aandra,1
Aanya,2
Aanycia,1
Aanyshu,1
Aaone,1
Aar'reanna,1
Aaralyn,1
Aaramie,1
Aaran,2
Aarand,1
Aaraston,1
Aarathi,1
Aarati,1
Aarav,1
Aarayana,1
Aare'on,1
Aaren,3
Aarene,1
Aareon,2
Aaria,1
Aarian,1
Aaric,6
Aariel,1
Aarien,1
Aarika,8
Aarikka,1
Aarin,1
Aarion,4
Aarionna,2
Aarique,1
Aarish,1
Aarohi,1
Aarolyn,2
Aaron,5070
Aaron Tomas,1
Aarondeep,1
Aarondrick,1
Aaronell,1
Aaronett,1
Aaronheath,1
Aaronna,1
Aarrika,1
Aarron,2
Aarthi,4
Aarti,4
Aarti Purohit,1
Aarushi,2
Aarya,1
Aaryan,1
Aaryanna,1
Aaryc,1
Aaryn,9
Aarynne,1
Aasha,1
Aashish,2
Aashna,2
Aasim,2
Aasiri,1
Aasiya,1
Aasli,1
Aasritha,1
Aasta,1
Aastha,1
Aatae,1
Aatif,2
Aaustin,1
Aavril,1
Aaya,2
Aayah,1
Aayana,1
Aayanna,1
Aayat,1
Aaziz,1
Ab,2
Aba,2
Ababacar,1
Ababo,1
Abad,2
Abagael,2
Abagail,34
Abagaiyl,1
Abagale,3
Abagayle,4
Abagial,1
Abaigael,1
Abaigeal,2
Aban,1
Abas,1
Abate,1
Abawi,1
Abay,1
Abayneh,2
Abaynesh,2
Abayomi,1
Abbaas,1
Abbagail,4
Abbaigael,1
Abbas,15
Abbasali,1
Abbe,10
Abbea,1
Abbee,2
Abbeegail,1
Abbegail,1
Abbegale,3
Abbey,226
Abbi,28
Abbiah,1
Abbie,175
Abbiegayle,1
Abbiel,1
Abbigael,1
Abbigail,76
Abbigaile,1
Abbigal,2
Abbigale,23
Abbigayl,1
Abbigayle,17
Abbilynn,1
Abbott,4
Abbra,1
Abbranette,1
Abbreegayl,1
Abbrianna,1
Abbriel,1
Abbriell,1
Abbrielle,1
Abbrigail,1
Abbrynae,1
Abby,830
Abby-Gail,1
Abby Jean,1
Abby Knesha,1
Abbyann,1
Abbye,5
Abbyel,1
Abbygail,21
Abbygail Ana,1
Abbygale,5
Abbygayl,1
Abbygayle,5
Abd Elmoneam,1
Abda,1
Abdal Kareem,1
Abdal Salam,1
Abdalfatah,1
Abdalghani,1
Abdalla,2
Abdallah,4
