text_res_address_nbr,Count
,3206
0,36
001,2
002,3
003,4
006,2
007,3
008,1
01,1
01009,1
011,1
01202,2
01306,1
01308,1
01406,1
01506,2
01806,4
01904,2
02005,2
023,2
02401,2
03001,1
03002,3
03006,1
03402,1
03408,1
03605,1
03801,1
04,1
04101,1
04105,2
04514,1
04604,1
04605,1
05105,2
05305,2
05403,2
05405,1
05408,1
05535,1
06160,1
06505,1
06514,2
06705,2
06706,1
06904,2
07206,2
07216,1
07306,2
075,2
07505,1
07544,3
07805,2
08005,2
08206,2
08401,2
08402,2
08505,1
09205,1
09305,4
09505,3
09507,2
09705,1
09706,2
09707,3
09805,1
1,853
10,768
100,2335
1000,1431
10000,152
10001,207
10002,103
10003,69
10004,83
10005,122
10006,123
10007,80
10008,91
100082,1
10009,123
100095,1
1001,2008
1001 ,1
10010,136
10011,89
100112,2
100116,2
100118,3
100119,2
10012,97
10013,95
10014,114
10015,102
10016,73
10017,87
10018,91
100187,3
10019,68
100199,1
1002,1282
10020,123
100206,1
10021,90
10022,66
100227,2
100228,1
10023,31
100232,2
10024,79
100245,6
10025,64
10026,49
100262,4
100268,2
10027,40
100270,2
10028,50
100280,2
10029,37
1003,920
10030,83
10031,58
10032,35
100323,2
10033,36
100334,2
10034,39
10035,23
10036,27
10037,38
10038,21
10039,20
1004,1151
10040,41
10041,36
10042,15
10043,19
100431,1
10044,20
10045,15
100457,2
10046,22
100462,2
10047,19
10048,19
100480,1
100486,2
10049,19
100497,1
100498,2
1005,1313
10050,52
10051,41
10052,6
10053,11
10054,17
10055,22
10056,3
10057,9
10058,8
10059,7
1006,1098
10060,18
10061,16
10062,18
10063,8
10064,17
10065,24
10066,6
10067,9
10068,9
10069,9
1007,995
10070,14
10071,16
10072,16
10073,6
10074,9
10075,15
10076,4
10077,13
10078,2
10079,2
1008,1148
10080,17
10081,14
10082,7
10083,4
10084,5
10085,8
10086,3
10087,11
10088,6
10089,3
1009,1305
10090,8
10091,12
10092,9
10093,3
10094,1
10095,5
10096,3
10097,5
10098,5
10099,3
101,3183
1010,1949
10100,154
10101,173
10102,95
10103,62
10104,91
10105,153
10106,92
10107,77
10108,88
10109,110
1011,1076
10110,139
10111,99
10112,82
10113,90
10114,111
10115,97
10116,92
10117,58
10118,87
10119,66
1012,1159
10120,104
10121,75
10122,73
10123,49
10124,79
10125,70
10126,60
10127,47
10128,50
10129,29
1013,922
10130,93
10131,58
10132,42
10133,35
10134,42
10135,42
10136,54
10137,35
10138,33
10139,29
1014,862
10140,44
10141,43
10142,27
10143,26
10144,28
10145,38
10146,26
10147,21
10148,25
10149,14
1015,1275
10150,52
10151,42
10152,10
10153,8
10154,5
10155,13
10156,13
10157,19
10158,7
10159,10
1016,964
10160,25
10161,16
10162,5
10163,8
10164,10
10165,10
10166,15
10167,5
10168,25
10169,16
1017,975
10170,11
10171,18
10172,18
10173,13
10174,13
10175,18
10176,15
10177,11
10178,1
10179,8
1018,857
10180,23
10181,32
10182,7
10183,11
10184,8
10185,17
10186,15
10187,4
10188,3
10189,2
1019,818
10190,10
10191,7
10192,4
10193,6
10194,3
10195,15
101956,2
10196,8
10197,9
10198,21
10199,7
102,2643
1020,1460
10200,421
10201,212
10202,74
10203,72
10204,118
10205,155
10206,155
10207,88
10208,127
10209,157
1021,1055
10210,168
10211,124
10212,125
10213,100
10214,77
10215,152
10216,113
10217,71
10218,137
10219,81
1022,589
10220,123
10221,132
10222,73
10223,69
10224,93
10225,108
10226,67
10227,57
10228,74
10229,116
1023,590
10230,126
10231,70
10232,75
10233,95
10234,63
10235,58
10236,70
10237,206
10238,51
10239,35
1024,727
10240,97
10241,139
10242,43
10243,36
10244,29
10245,94
10246,41
10247,36
10248,27
10249,49
1025,768
10250,56
10251,54
10252,17
10253,41
10254,23
10255,49
10256,17
10257,28
10258,10
10259,25
1026,562
10260,37
10261,23
10262,12
10263,24
10264,24
10265,20
10266,20
10267,16
10268,4
10269,10
1027,542
10270,19
10271,12
10272,16
10273,19
10274,3
10275,30
10276,20
10277,10
10278,23
10279,11
1028,496
10280,23
10281,16
10282,4
10283,19
10284,14
10285,18
10286,5
10287,6
10288,13
10289,5
1029,465
10290,21
10291,6
10292,17
10293,5
10294,4
10295,7
10296,9
10297,4
10298,14
10299,8
103,2395
1030,633
10300,224
10301,155
10302,140
10303,92
10304,101
10305,125
10306,98
10307,104
10308,135
10309,111
1031,496
10310,117
10311,135
10312,107
10313,86
10314,80
10315,104
10316,96
10317,88
10318,87
10319,87
1032,394
10320,95
10321,67
10322,42
10323,62
10324,82
10325,79
10326,51
10327,42
10328,49
10329,46
1033,433
10330,103
10331,86
10332,55
10333,49
10334,37
10335,44
10336,42
10337,49
10338,43
10339,27
1034,337
10340,63
10341,47
10342,60
10343,33
10344,39
10345,29
10346,40
10347,25
10348,22
10349,27
1035,413
10350,41
10351,18
10352,16
10353,12
10354,23
10355,27
10356,9
10357,14
10358,20
10359,11
1036,366
10360,34
10361,13
10362,6
10363,7
10364,18
10365,26
10366,15
10368,4
10369,15
1037,392
10370,37
10371,7
10372,10
10373,7
10374,3
10375,24
10376,10
10377,5
10378,9
10379,2
1038,268
10380,17
10381,11
10382,14
10383,15
10384,8
10385,18
10386,5
10387,6
10389,5
1039,256
10390,21
10391,4
10392,6
10393,7
10394,9
10395,8
10396,8
10397,6
10398,12
10399,10
104,2559
104 ,1
1040,441
10400,172
10401,466
10402,60
10403,89
10404,107
10405,137
