text_res_address_nbr_suffix,Count
,1971235
-1,10
-1/2,1
-2,19
-3,1
-5,1
-A,1
-B,1
-F,1
.5,7
`,25
``,1
02,1
03,1
04,5
05,2
08,2
09,1
1,230
1//2,1
1/2,1959
1/21,1
1/22,1
1/5,1
10,1
106,1
12,3
13,2
14,3
15,1
16,1
17,1
18/2,1
19,1
1b,1
2,246
20,1
202,1
213,1
22,1
27,1
3,18
4,11
5,12
5104,1
5202,1
5406,1
6,5
7,2
701,1
8B,1
a,41
A,804
A2,1
AP,1
b,42
B,713
B3,2
c,4
C,105
cr,1
CR,1
D,60
e,4
E,54
F,23
F1,1
G,8
H,10
I,1
J,2
K,1
L,2
n,16
N,36
ne,1
NE,2
nw,3
NW,4
O,1
OFC,1
P,3
q,1
R,1
s,13
S,38
se,2
SE,2
sw,1
U,1
UP,1
US,2
w,17
W,28
W2,1
