text_street_name,Count
,3206
1,135
1.5,3
1/2 Douglas,1
1/2 Washington,1
10,617
100,771
1000,597
10000,54
1000th,14
100th,3251
101,17
101st,2509
102,37
1021,11
1025,6
1029,3
102nd,1899
103,4
1031,7
1032,4
1033,2
1037,6
103rd,1158
104,28
1040,1
1043,3
1044,4
1048,3
104th,1066
105,48
1050,62
1055,12
1056,26
105th,1597
106,72
1060,16
1062,22
1066,18
1067,23
1068,6
106th,1714
107,26
1072,8
1075,5
107th,1253
108,66
108 Spur,1
108 Th,2
1082,37
1083,10
1087,23
108th,1859
109,26
1094,2
1099,5
109th,1944
10th,9240
10th Cavalry,42
10th Road,22
10th St,2
10th Street,21
11,57
110,273
110 Spring,21
1100,653
11000,53
1100th,28
1108,11
110th,2367
111,17
1112,6
1116,17
1117,9
111th,1281
112,63
1122,7
1125,4
112th,1654
113,33
1130,7
1135,30
1137,37
1138,23
113th,1638
114,28
114th,1362
115,24
115 th,2
1150,172
11500,14
1150th,21
1156,5
1157,4
1158,1
115th,2652
116,13
1167,26
1169,11
116th,2863
117,27
1172,13
1175,16
117th,1582
118,18
1180,4
1183,9
1184,5
118th,1843
119,13
1190,19
119th,2047
11th,6248
11th Road,19
11th Street,13
12,66
120,288
1200,392
12000,45
1200th,25
120th,2755
121,16
1217,8
121st,3165
122,6
1226,3
122nd,1672
123,30
1230,4
123rd,3123
124,9
1240,4
124th,2690
125,12
1250,127
1256,10
1259,57
125th,2627
126,166
1260,9
1264,93
126th,2451
127,16
1275,13
1279,7
127th,2521
128,13
1284,20
1287,1
1289,18
128th,1857
129,17
1292,16
1296,17
129th,1799
12th,6252
12th Road,33
12th St,2
12th St-Cntrp,6
12th Street,9
13,82
130,256
1300,318
13000,51
1300th,32
1304,5
130th,1865
131,31
131 St.,2
1310,16
1311,6
1318,10
131st,2671
132,30
1320,4
1325,3
1326,26
132nd,2670
133,12
1330,3
1338,49
133rd,1579
134,11
134th,1248
135,22
1350,55
135th,822
136,4
1360,4
1368,10
1369,21
136th,1322
137,5
1375,22
