text_res_unit_nbr,Count
,1775110
-A,1
# 1,1
# 8,1
# 8 APT 30,1
# 8 APT29A,1
# B,2
# C,2
#1,5
#1 APT 3C,1
#10,2
#11 APT 44,1
#11 APT.44,1
#115,1
#11APT 43B,1
#11APT43D,1
#12,2
#13,1
#14 B-14,1
#15A,1
#2,6
#209,1
#215,1
#26,2
#27,1
#3,6
#3 APT 101,1
#3 APT 12A,1
#30,2
#302,1
#32,2
#36 BLD 9,1
#4,5
#44BLD44,1
#5,4
#6,3
#6 APT 24,1
#6 APT 24C,1
#7,1
#8,2
#8 APT 29,1
#8 APT 31,1
#8 APT29,1
#8 APT29B,1
#8 APT31,1
#9,5
#9-#2205,1
#9 APT 36B,1
#A,3
#C7,1
#G303,1
#H,1
#I,1
#O0 #2,1
*,2
.5,1
:,2
:05,1
:2,2
:B7,1
:C6,1
?,7
??,1
0,19
0-12,1
00,1
000,4
0000,1
001,12
002,3
003,9
00331,1
004,6
005,1
005A,1
006,8
007,4
008,1
009,1
01,16
010,1
0106,1
0108,1
011,4
0110,2
01105,1
01106,1
0112,1
0117,1
013,1
0153,1
0157,1
0159,1
018,1
02,16
02-306,2
0201,2
0203,1
0204,1
0205,1
0212,1
0214,2
0224,1
0232,1
02H,1
03,16
03-302,1
03-305,1
0303,1
0306,1
0308,1
0309,1
0311,1
0312,1
0313,1
0316,1
032,1
0320,1
03201,1
03203,1
0321,1
0322,1
0323,1
0324,1
0330,1
03308,1
0338,1
037,1
039,1
03G,1
04,14
04-203,1
0401,1
0402,1
0409,1
041,1
0410,1
0416,1
04201,2
04204,1
0422,1
043,1
047,1
04A,1
05,8
05-103,1
05-14485,1
050,1
0503,1
0508,1
0510,1
0516,1
052,1
0521,1
0522,1
05302,1
05305,1
054,1
055,1
058,1
05C,1
05G,2
05J,1
06,10
06-104,1
06 D,1
0606,1
0607,1
061,1
06102,1
0612,1
0614,1
06201,1
06204,1
0622,1
066,1
06A,2
06C,1
07,3
0702,1
0703,3
0707,1
0711,1
0712,1
0714,1
0716,2
07303,1
0732,1
078,1
079,2
08,13
08-101,1
08-103,1
08-202,1
08-205,2
080,1
0801,2
0803,1
0806,2
0808,1
0809,2
08106,1
0814,1
0815,2
0819,1
0821,1
0827,1
083,1
08303,1
08304,1
0833,1
087,1
089,2
09,14
0906,1
0908,1
0917,1
09202,1
0921,1
09301,1
094,2
097,2
09H,1
1,6213
1-03,1
1-04,1
1-05,1
1-1,1
1-10,2
1-101,3
1-102D,1
1-103,3
1-104,1
1-105,2
1-106,3
1-107,1
1-11,1
1-111,1
1-114,1
1-12,1
1-2,2
1-201,2
1-202,1
1-203,1
1-204,3
1-206,3
1-217,1
1-220,1
1-223,1
1-303,1
1-304,1
1-324A,1
1-412,1
1-7,1
1-A,1
1-A1,1
1-B,3
1-B4,1
1-B5,1
1-C,1
1-C1,1
1-C2,1
1-C3,1
1-C5,1
1-E,2
1-K,1
1 212,1
1 A,1
1 APT 3,1
1 W,1
1/,1
1/2,158
1/2 D,1
10,1338
10-102,1
10-1021,1
10-1022B,1
10-103,5
10-1033A,1
10-104,2
10-105,1
10-106,3
10-108,1
10-201,3
10-202,1
10-203,1
10-205,2
10-206,1
10-301,1
10-304,1
10-5,1
10-A,1
10-B,1
10-E,1
10  41C,1
10 L,1
100,329
100-1,3
100-2,1
100-4,1
100-5,1
100-7,2
100 B,1
1000,15
1001,167
1001B,1
1002,149
1003,117
1004,140
1005,93
1006,86
1007,85
1008,100
1008B,1
1009,51
100A,3
100B,6
101,1909
101-B,1
101-D,1
101 A,1
101 B,1
1010,64
10101,12
10102,16
10103,22
10104,13
10105,16
10106,14
10107,4
10108,3
10109,5
1011,83
10110,9
10111,1
10112,1
10116,1
10118,2
1012,97
1013,63
1013A,1
1014,66
1014A,1
1015,50
1015 A,1
1016,54
1016C,1
1017,27
10176,1
1017A,1
1018,39
1019,18
101A,19
101B,11
101C,9
101D,2
101F,1
101K,1
101L,1
101W,1
102,1903
102-1,1
102 B,2
1020,21
10201,15
10202,13
10203,9
10204,18
10205,9
10206,12
10207,6
10208,5
10209,3
1021,51
10210,9
10211,3
10212,4
10214,2
10215,2
10217,2
10218,2
1021B,1
1022,49
1023,41
1024,49
1025,21
1026,28
1026B,1
1027,25
1028,19
1028A,1
1028B,1
1029,6
1029-7,1
1029 1/2,1
102A,7
102B,11
102C,1
102D,1
102S,1
103,1557
103-A,1
103-D,2
103 B,1
1030,1
10301,9
10302,6
10303,6
10304,7
10305,3
10306,3
10307,2
10308,5
10309,2
1031,28
10310,2
10311,1
10312,1
10313,2
10314,1
10316,1
10317,1
10318,2
1032,15
1033,16
1033C,1
1034,14
1035,13
1035A,1
1036,12
1036A,1
1037,9
1038,13
103A,16
103AL,1
103B,10
103C,3
103D,6
104,1522
104-D,1
104 A,2
