text_res_city,Count
Abbyville,210
Abilene,6972
Ada,59
Admire,198
Agenda,106
Agra,270
Albert,237
Alden,135
Alexander,55
Allen,386
Alma,1336
Almena,384
Alta Vista,636
Altamont,1106
Alton,186
Altoona,389
Americus,845
Andale,1357
Andover,12358
Anthony,1661
Arcadia,478
Argonia,578
Arkansas City,8416
Arlington,458
Arma,1449
Arnold,32
Ashland,798
Assaria,767
Atchison,9354
Athol,115
Atlanta,318
Attica,490
Atwood,1264
Auburn,2207
Augusta,9764
Aurora,135
Axtell,558
Baileyville,389
Baldwin City,5649
Bancroft,2
Barnard,126
Barnes,172
Bartlett,178
Basehor,7961
Bavaria,27
Baxter Springs,4219
Bazine,244
Beattie,273
Beaumont,42
Beeler,57
Bel Aire,6661
Belle Plaine,2216
Belleville,1750
Beloit,3026
Belpre,125
Belvidere,11
Belvue,380
Bendena,166
Benedict,108
Bennington,853
Bentley,367
Benton,1895
Bern,331
Berryton,2574
Beverly,205
Bird City,479
Bison,242
Blaine,4
Bloom,29
Blue Mound,423
Blue Rapids,828
Bluff City,97
Bogue,177
Bonner Springs,7137
Bremen,200
Brewster,400
Bridgeport,47
Bronson,370
Brookville,490
Brownell,101
Bucklin,610
Bucyrus,1474
Buffalo,294
Buhler,1502
Bunker Hill,129
Burden,590
Burdett,260
Burdick,122
Burlingame,1356
Burlington,2562
Burns,422
Burr Oak,220
Burrton,1082
Bushong,19
Bushton,291
Byers,48
Byron,18
Caldwell,1075
Cambridge,152
Caney,1936
Canton,851
Carbondale,2043
Carlton,144
Carlyle,13
Cassoday,216
Catherine,68
Cawker City,422
Cedar,68
Cedar Point,149
Cedar Vale,544
Centerville,309
Centralia,628
Chanute,7766
Chapman,1720
Chase,378
Chautauqua,43
Cheney,2799
Cherokee,746
Cherrryvale,2
Cherryvale,2231
Chester,24
Chetopa,1056
Cimarron,1836
Circleville,337
Claflin,825
Clay Center,4096
Clayton,110
Clearwater,3465
Clifton,543
Climax ,24
Clyde,700
Coats,124
Codell,42
Coffeyville,7156
Colby,4354
Coldwater,653
Collyer,155
Colony,607
Columbus,3940
Colwich,2066
Concordia,4131
Conway Springs,1561
Coolidge,73
Copeland,327
Corning,300
Cottonwood Falls,727
Council Grove,2386
Courtland,403
Coyville,3
Crestline,41
Cuba,229
Culver,176
Cummings,423
Cunningham,625
Damar,179
Danbury,14
Danville,102
De Soto,4768
