text_res_zip5,Count
66002,9398
66006,5649
66007,7965
66008,166
66010,423
66012,7121
66013,2338
66014,309
66015,607
66016,423
66017,210
66018,4764
66020,1250
66021,1843
66023,756
66024,640
66025,5587
66026,489
66027,1443
66029,1
66030,16825
66032,3530
66033,535
66035,643
66036,7
66038,2
66039,492
66040,2797
66041,512
66042,571
66043,6654
66044,16304
66045,361
66046,12455
66047,13854
66048,24310
66049,24777
66050,1349
66052,1670
66053,6642
66054,2113
66056,1354
66058,256
66060,722
66061,45306
66062,55823
66064,3801
66066,1894
66067,11494
66070,1892
66071,9728
66072,751
66073,1758
66075,1556
66076,1545
66078,707
66079,588
66080,717
66083,9416
66085,8911
66086,8111
66087,1390
66088,1629
66090,1519
66091,248
66092,3128
66093,370
66094,276
66095,677
66097,722
66101,5446
66102,12483
66103,7419
66104,14626
66105,858
66106,12760
66109,18767
66111,5544
66112,7868
66113,751
66115,2
66118,11
66202,13519
66203,14252
66204,13407
66205,11546
66206,9413
66207,12461
66208,18914
66209,16973
66210,14532
66211,4708
66212,23763
66213,23404
66214,8456
66215,19674
66216,19972
66217,4287
66218,7319
66219,10856
66220,7203
66221,19492
66223,17446
66224,11729
66226,11388
66227,8128
66401,1336
66402,2207
66403,558
66404,389
66406,273
66407,380
66408,331
66409,2574
66411,828
66412,200
66413,1356
66414,2043
66415,628
66416,337
66417,300
66418,451
66419,253
66422,335
66423,646
66424,406
66425,312
66427,971
66428,282
66429,443
66431,471
66432,290
66434,3297
66436,3940
66438,228
66439,1661
66440,1430
66441,16133
66442,3480
66449,563
66451,1428
66501,204
66502,25122
66503,12182
66506,262
66507,978
66508,2972
66509,1743
66510,593
66512,2445
66514,1267
66515,311
66516,247
66517,914
66518,103
66520,473
66521,1039
66522,29
66523,2829
66524,1981
66526,599
66527,149
66528,651
66531,999
66532,404
66533,1190
66534,2594
66535,2201
66536,2829
66537,1056
66538,2487
66539,2045
66540,365
66541,169
66542,2699
66543,611
66544,256
66545,14
66546,864
66547,6091
66548,676
66549,1095
66550,393
66552,288
66554,385
66603,684
66604,14792
66605,11730
66606,6993
66607,3872
66608,2752
66609,5047
66610,8196
66611,6450
66612,1032
66614,21820
66615,2538
66616,3365
66617,6689
66618,7347
66619,1676
66621,86
66701,10373
66710,389
66711,478
66712,1449
66713,4219
66714,108
66716,370
66717,294
66720,7766
66724,746
66725,3941
66727,3
66728,41
66732,164
66733,1567
66734,278
66735,367
66736,1971
66738,273
66739,3963
66740,297
66741,187
66742,326
66743,3235
66746,170
66747,1
66748,1864
66749,4898
66751,471
66753,806
66754,374
66755,744
66756,723
66757,1821
66758,129
66759,15
66760,89
66761,144
66762,16483
66763,2509
66767,351
66769,390
66770,830
66771,681
66772,220
66773,540
66775,141
66776,841
66777,423
66779,494
66780,407
66781,894
66782,132
66783,1496
66801,16840
66830,198
66833,405
66834,636
66835,845
66838,122
66839,2892
66840,422
66842,216
66843,149
66845,727
66846,2407
66849,347
66850,142
66851,387
66852,439
66853,310
66854,519
66855,5
66856,1205
66857,648
66858,299
66859,122
66860,936
66861,2306
66862,99
66863,41
66864,312
66865,809
66866,1095
66868,471
66869,499
66870,110
66871,901
66872,663
66873,234
66901,4131
66930,106
66932,115
66933,172
66935,1750
66936,220
66937,543
66938,700
66939,403
66940,229
66941,200
66942,159
66943,294
66944,142
66945,713
66946,80
66948,316
66949,415
66951,514
66952,362
66953,373
66955,59
66956,836
66958,187
66959,151
66960,133
66961,10
66962,212
66963,108
66964,139
66966,418
66967,1547
66968,1010
66970,88
