text_mail_zip5,Count
,1825385
.,1
],1
`,1
0,1
00152,1
0043,1
00803,1
00830,1
0085,1
00918,1
00961,1
01002,2
01020,1
01022,1
01027,1
01063,2
01075,2
01105,1
01235,1
01238,1
0125,1
01267,1
0157,1
01608,1
01609,1
01701,1
01731,3
01745,1
01748,1
01752,1
01827,1
01901,1
01929,1
01984,1
02026,1
02035,1
02047,2
02109,1
02115,4
02116,1
02119,2
02120,2
02124,1
02125,1
02130,2
02131,1
02134,4
02135,2
02136,1
02138,8
02139,8
02140,2
02141,2
02143,3
02144,3
02151,1
02155,1
02170,2
02215,7
02346,2
02445,3
02453,2
02457,2
02459,1
02465,1
02467,4
02481,2
02492,1
02540,1
02649,1
02721,1
02806,2
02809,1
02840,1
02841,1
02842,1
02852,1
02864,1
02895,1
02903,1
02906,4
02908,1
02909,2
02912,4
03052,1
03062,1
03103,1
03246,1
03263,1
03287,1
0342,1
03755,1
03801,1
03820,1
03906,2
04005,1
04011,2
04070,3
04072,1
04276,1
04429,1
04468,1
04473,1
0453,1
04654,1
04658,1
0466,1
0487,1
04957,2
05301,1
05403,1
05405,3
05661,1
05753,3
05770,1
06106,1
06119,2
06248,1
06340,7
06370,2
06385,1
06405,1
06457,1
06460,1
06492,1
06511,4
06512,1
06520,3
06783,1
06810,1
06890,1
07002,1
07030,5
07040,1
07052,1
07071,1
07086,1
07302,2
07304,1
07306,1
07502,1
07626,1
07746,1
07762,1
07826,1
07832,1
07932,1
07940,1
08015,1
08016,1
08028,1
08060,3
08068,1
08070,1
08079,1
08201,1
0821,1
08260,2
08302,1
08401,1
08515,1
08520,1
08536,1
08540,1
08641,5
08709,1
08733,1
08859,1
08865,1
08873,3
08901,1
08904,1
09009,2
09012,6
09034,1
09046,1
09075,1
09096,17
09098,1
09102,1
09112,6
09114,13
09123,5
09126,1
09128,1
09142,5
09173,1
09180,3
09182,1
09227,1
09309,2
09311,1
09330,1
09331,1
09338,1
09354,1
09363,1
09366,4
09382,1
09392,1
09393,2
09459,6
09464,5
09469,1
09522,1
09603,4
09606,3
09613,1
09618,1
09627,1
09630,2
09643,1
09705,1
09712,1
09722,1
09724,1
09751,2
09752,2
09824,1
09832,1
09898,2
10001,6
10002,5
10003,9
10009,9
10010,6
10011,5
10012,3
10013,1
10014,9
10016,4
10017,1
10018,1
10019,2
10021,3
10022,2
10023,3
10024,2
10025,7
10027,8
10028,1
10029,2
10030,2
10031,4
10032,7
10036,2
10038,3
10039,1
10065,1
10075,2
10128,2
10305,1
10310,1
10453,1
10463,1
10468,1
10543,1
10577,2
10996,1
10997,10
11024,2
11101,1
11105,1
11201,3
11203,1
11205,2
11206,2
11207,2
11210,1
11211,3
11213,1
11215,4
11216,7
11217,2
11221,10
11222,4
11225,3
11226,1
11229,1
11231,1
11233,1
11237,5
11238,9
11249,1
11355,1
11375,2
11377,4
11385,1
11411,1
11415,1
11429,1
11530,1
11548,2
11691,1
11720,1
11787,1
11790,1
11794,1
11801,1
11941,1
12020,1
12065,1
12180,2
1225,1
12498,1
12538,1
12540,1
12550,1
12553,1
12604,2
12983,1
13021,2
13078,1
13164,1
13203,1
13210,1
1322,1
13346,2
13601,4
13602,3
13603,8
13607,1
13616,1
13626,1
13642,1
13648,1
13662,1
13820,1
13904,1
13905,1
14043,1
14092,1
14260,1
14580,2
14606,1
14607,1
14611,2
14619,2
14620,2
14623,1
14624,1
14845,1
14850,4
14853,1
15005,1
15010,1
15025,1
15143,1
15213,2
15217,3
15222,1
15233,1
15237,1
15238,1
15289,3
15317,4
15417,1
15905,1
16127,2
16347,1
16350,1
16406,1
16433,1
16546,1
16609,1
16801,2
16933,1
17004,3
17015,1
17046,1
17050,1
17102,1
17311,2
17325,1
17402,1
17406,1
17752,1
17972,1
18018,1
18042,1
18071,1
18103,1
18444,1
18509,1
18711,1
18840,1
18969,2
19004,1
19013,1
19081,1
19083,1
19085,2
19087,1
19095,1
19102,2
19104,2
19121,1
19122,1
19140,2
19145,1
19146,1
19148,1
19320,1
19355,1
19363,1
19390,1
19406,2
19454,1
19460,1
19464,1
19565,1
19713,1
19735,1
19806,1
19808,1
19901,1
19940,1
19943,1
19950,1
19962,1
20001,7
20002,13
20003,6
20004,1
20005,3
20006,1
20007,3
20008,3
20009,12
20010,3
20011,2
20012,1
20016,5
20017,1
20024,3
20037,2
20052,3
20057,5
20059,1
20110,1
20115,1
20142,1
20147,1
20148,1
20151,1
20155,1
20177,1
20189,10
20373,1
2049,1
20619,2
20639,2
20646,1
20653,2
20658,1
20708,1
20714,2
20719,1
20720,1
20722,1
20740,3
20755,8
20762,7
20774,2
20778,1
20782,1
20785,1
20814,1
20815,1
20850,3
20852,1
20874,2
20879,1
20880,2
20895,3
20902,1
20910,2
20912,1
21001,1
21005,1
21015,1
21035,1
21044,2
21045,2
21060,1
21061,1
21085,1
21104,1
21108,1
21113,1
21114,1
2114,1
21140,1
21144,1
21157,1
21158,1
21201,1
21202,3
21205,2
21207,1
21211,1
21218,5
21220,1
21222,1
21224,1
21227,1
21228,2
21230,3
21231,2
21234,1
21236,1
21401,3
21403,3
21409,2
21412,7
21557,2
21617,1
21701,1
21703,1
21727,1
21740,1
21770,2
21774,2
21869,2
22003,2
22015,1
22025,3
22030,2
22031,2
22033,2
22041,4
22042,2
22044,2
22060,2
22079,4
22101,1
22125,1
22134,6
22152,3
22153,3
22172,1
22182,1
22191,2
22192,2
22193,2
22201,3
22202,5
22203,2
22206,1
22207,5
22209,2
22211,1
22302,2
22303,5
22304,3
22305,2
22308,1
22310,2
22314,2
22315,3
22407,1
22408,1
22443,1
22448,1
22553,1
22554,4
22555,1
22556,2
22630,2
22712,1
22718,2
22801,2
22802,1
22903,4
22904,1
22963,1
23061,1
23072,1
23150,1
23173,1
23185,4
23188,4
23223,1
23225,3
23227,1
23230,2
23235,1
23236,1
23322,3
23323,7
23324,1
23325,1
23434,4
23435,1
23451,2
23452,4
23453,3
23454,2
23455,6
23456,7
23457,1
23460,1
23462,4
23464,3
23465,1
23503,5
23505,5
23507,1
23508,2
23511,1
23513,6
23518,3
23602,4
23604,3
23606,1
23661,2
23662,1
23663,1
23664,1
23665,8
23666,2
23668,1
23669,3
23692,1
23693,1
23703,3
23704,3
23707,2
23708,1
23801,4
23860,1
23872,1
23875,1
23936,4
24060,2
24069,1
24126,1
24202,1
24221,1
24343,1
24416,1
24450,3
24477,1
24501,2
24502,1
24515,1
25061,1
25314,1
25404,2
25419,3
25550,2
25704,2
25801,3
25918,1
26033,1
26038,1
26287,1
26501,2
26505,5
26554,1
27043,1
27076,1
27103,1
27106,3
27215,1
27244,1
27268,1
27282,2
27330,2
27332,5
27401,1
27410,2
27505,2
27514,2
27516,1
27517,1
27518,1
27519,1
27529,2
27534,3
27545,1
27546,1
27603,1
