precinct_text_name,Count
01,4
0102,1259
0103,306
0104,133
0105,1092
0106,2406
0107,2047
0108,1375
0109,1543
0110,1923
0111,472
0112,1810
0113,1751
0114,1643
0116,2148
0117,1814
0118,1920
0119,1631
0120,1625
0121,1258
0122,2718
0123,382
0126,372
0127,33
0128,1443
0129,561
0130,1106
0133,47
0135,442
0136,857
0137,1555
0138,1918
02,1512
0205,859
0206,638
0207,3156
0208,611
0209,1750
0210,2323
0211,933
0214,1966
0215,2881
0216,1551
0217,1922
0218,3325
0221,1175
0222,1145
0223,1765
0224,3351
0225,3618
0226,2216
0227,1505
0228,2555
0230,90
0233,811
0235,571
0236,1099
0238,217
0239,98
0240,339
0241,183
0242,334
0243,54
0245,5
0246,242
0247,444
0248,51
0249,1577
0250,746
0251,664
0252,746
0257,1
03,2
0301,984
0302,2036
0303,1031
0304,851
0305,474
0306,2243
0307,1542
0308,1787
0309,178
0310,1923
0312,909
0313,2424
0314,2085
0315,1816
0316,1155
0317,21
0318,245
0319,564
0320,686
0321,85
0324,939
0325,1150
0326,182
0328,134
0330,1593
0331,381
0332,850
0333,1170
0334,832
0335,663
0336,268
0339,1949
04,1366
0401,1091
0402,834
0403,1015
0404,2613
0405,1518
0406,1649
0407,212
0408,1732
0409,944
0410,2187
0411,1
0412,3561
0413,2426
0414,916
0416,1164
0417,1322
0418,1809
0419,1249
0420,1693
0422,1165
0423,1674
0424,813
0425,2540
0426,199
0429,988
0431,22
0433,733
0434,2
0437,965
0439,6
0444,151
0445,746
0446,231
0447,295
0448,125
0449,635
05,1721
0503,2356
0504,1594
0506,2025
0507,1843
0508,1681
0509,1617
0510,1982
0512,4082
0513,1818
0514,2416
0515,2025
0516,1230
0517,1261
0518,1583
0519,1836
0522,1564
0523,1542
0524,2421
0525,1832
0526,2046
0527,2037
0528,2
0530,1972
0531,2768
0534,233
0539,1805
0541,3
0544,186
0545,715
0552,1
06,1019
0601,2688
0602,2365
0603,662
0604,2150
0605,814
0606,726
0607,2018
0608,1822
0609,2545
0610,1743
0611,1252
0612,2213
0613,1813
0614,1198
0615,3098
0616,1439
0617,1001
0618,736
0619,1830
0621,574
0622,2107
0623,2086
0624,210
0626,18
0627,124
0629,55
0630,4
0632,765
0633,819
0634,301
07,1869
08,652
09,2602
1 Pct 1 Ward,836
1 Pct 2 Ward,737
1 Pct 3 Ward,1008
1 Pct 4 Ward,643
1 Pct 5 Ward,832
1 Pct 6 Ward,990
1 Pct 7 Ward,480
10,1636
11,954
12,99
13,299
14,942
15,1454
16,1307
17,2432
18,215
19,1293
1st Ward Exclave Colonial,15
1st Ward Exclave Halls,20
2 Pct 2 Ward H40,458
2 Pct 2 Ward H41,141
2 Pct 5 Ward,660
2 Pct 6 Ward H38,342
2 Pct 6 Ward H40,451
2 Pct 7 Ward,2442
20,1724
21,356
22,490
23,1347
24,1853
25,1256
26,409
27,164
28,4
29,158
3 Pct 2 Ward,956
3 Pct 5 Ward,1207
3 Pct 6 Ward,752
3 Pct 7 Ward H38,1290
3 Pct 7 Ward H40,1755
30,1557
4 Pct 5 Ward,758
4 Pct 6 Ward H38,428
4 Pct 6 Ward H41,989
5 Pct 6 Ward,1270
AB City  W1 USD435,734
AB City W2 USD435,1081
AB City W3 USD435,690
AB City W4 P1 USD435,885
AB City W4 P2 USD435,1053
Abbyville 72,58
AC 1A,297
AC 1AA,1
AC 1AB,26
AC 1B,316
AC 1C,484
AC 1D,384
AC 2A,534
AC 2AX,2
AC 2B1,293
AC 2B2,135
AC 2C,88
AC 2D,120
AC 3A,156
AC 3B,253
AC 3C,197
AC 4A,454
AC 4B,975
AC 4C,444
AC 4D,849
Achilles,31
Adams Township,136
Adrian,113
Aetna Township Prct1,7
AF,1164
Agra City,177
Alamota Twp,39
Albano 051,30
Albion 33,134
Albion Twp,37
Albion Twp / Narka,107
Aldersgate - Mission,330
Alexander-Belle Prairie Twsp.,39
Alexander City,34
Allen,83
Allen Township,20
Allodium Township,31
Almena1 - Prec 1,364
Alta  A1,175
Alton City,70
Altoona City,162
