precinct_text_designation,Count
000,138
0001,2438
0002,555
0003,26
0004,316
0005,484
0006,384
0007,534
0008,293
0009,967
001,7068
001.1,111
0010,630
0011,956
0012,1448
0013,1261
0014,1551
0015,1820
0016,1965
0017,927
0018,990
0019,792
002,7107
0020,546
0021,3258
0022,1409
0023,1207
0024,1595
0025,2521
0026,1379
0028,1774
0029,1435
003,10773
0030,1971
0031,4171
0032,2502
0033,2159
0034,304
0035,937
0036,2071
0037,2214
0038,2061
0039,3404
004,4491
004.1,40
0040,269
0041,647
0042,2314
0043,2487
0044,2502
0045,748
0046,2892
0047,2322
0048,1768
0049,1329
005,5142
005.1,293
0050,1191
0051,3254
0052,2587
0052C,313
0053,2036
0054,1152
0055,275
0056,1396
0056B,16
0056C,6
0056D,4
0057,1176
0058,1578
0059,2936
0059A,219
006,3025
006.1,48
006.3,188
0060,271
0061,2
0061A,7
0061B,35
0061D,147
0061F,2
0062,1234
0063,1617
0064,1445
0065,1411
0065A,73
0066,1243
0067,451
0067A,5
0068,627
0069,167
007,4588
0070,36
0071,197
0072,1627
0073,1317
0074,1467
0075,238
0076,489
0077,23
0078,3
007A,22
008,3462
008.2,71
0080,815
0081,554
0082,502
0083,12
0084,256
0085,330
0086,1128
0087,830
0089,178
009,3565
009.3,376
0090,500
0091,787
0092,561
0093,584
0094,654
0095,672
0096,454
0097,72
0099,113
01,5819
010,3120
010.1,30
0101,496
0102,1744
0103,721
0104,719
0105,1934
0106,3355
0107,2050
0108,1375
0109,1545
011,5080
011.2,85
0110,1923
0111,472
0112,1810
0113,1751
0114,1643
0116,2148
0117,1814
0118,1920
0119,1631
012,3097
012.2,335
0120,1625
0121,1258
0122,2718
0123,382
0126,372
0127,33
0128,1443
0129,561
013,4740
0130,1106
0133,47
0135,442
0136,857
0137,1555
0138,1918
014,5061
014.1,18
014B,486
015,4730
016,3849
017,4184
018,2661
018 A,458
019,2055
01A,593
01B,616
01C,1111
01D,784
02,10306
02.1,3065
02.2,4
020,4613
020 A,451
0201,546
0202,432
0203,437
0204,427
0205,1233
0206,1133
0207,3513
0208,1032
0209,2303
021,2356
0210,2842
0211,1369
0214,1966
0215,2881
0216,1551
0217,1922
0218,3325
022,5437
0221,1175
0222,1145
0223,1765
0224,3351
0225,3618
0226,2216
0227,1505
0228,2555
023,2763
0230,90
0233,811
0235,571
0236,1099
0238,217
0239,98
024,2712
024.1,335
0240,339
0241,183
0242,334
0243,54
0245,5
0246,242
0247,444
0248,51
0249,1577
025,1752
025 A,1755
025.1,432
0250,746
0251,664
0252,746
0257,1
025A,65
026,3709
026.01,239
026B,687
027,2323
027.1,102
028,2261
028B,809
029,2161
029 A,989
02A,359
02B,508
02C,444
02D,437
02E,397
03,4963
030,968
0301,1496
0302,2444
0303,1505
0304,1320
0305,824
0306,2619
0307,2074
0308,2217
0309,794
031,1857
0310,1984
0312,909
0313,2424
0314,2085
0315,1816
0316,1155
0317,21
0318,245
0319,564
032,1900
032.1,237
0320,686
0321,85
0324,939
0325,1150
0326,182
0328,134
033,1700
033 A,371
033 B,288
033 C,73
033.1,90
0330,1593
0331,381
0332,850
0333,1170
0334,832
0335,663
0336,268
0339,1949
034,1976
035,2625
035B,495
036,3289
037,3110
037 A,451
038,1821
038 A,84
038B,322
039,2678
03A,578
03B,454
03C,673
03D,407
03W,118
04,5492
040,2566
0401,1569
0402,1535
0403,1414
0404,3291
0405,1518
0406,2240
0407,582
0408,2261
0409,1452
041,1985
0410,2727
0411,142
0412,3561
0413,2426
0414,974
0415,327
0416,1164
