date_of_registration,Count
01/01/1800,20
01/01/1801,10
01/01/1901,207
01/01/1903,1
01/01/1950,1
01/01/1955,1
01/01/1960,63
01/01/1965,1
01/01/1969,2
01/01/1970,1
01/01/1972,165
01/01/1973,33
01/01/1974,94
01/01/1976,3
01/01/1977,3
01/01/1978,1
01/01/1979,1
01/01/1980,3
01/01/1982,2
01/01/1983,4
01/01/1984,7
01/01/1985,7
01/01/1986,2
01/01/1987,3
01/01/1988,7
01/01/1989,11
01/01/1990,8
01/01/1991,11
01/01/1992,7
01/01/1993,8
01/01/1994,10
01/01/1995,31
01/01/1996,50
01/01/1997,16
01/01/1998,12
01/01/1999,12
01/01/2000,7
01/01/2001,6
01/01/2002,4
01/01/2003,7
01/01/2004,15
01/01/2005,1
01/01/2006,2
01/01/2007,1
01/01/2008,6
01/01/2009,2
01/01/2010,4
01/01/2011,6
01/01/2012,5
01/01/2013,2
01/01/2014,7
01/01/2015,12
01/01/2016,17
01/01/2017,1
01/01/2018,3
01/01/2019,2
01/01/2020,11
01/01/2021,4
01/01/2022,66
01/01/2023,4
01/01/2024,3
01/02/1963,1
01/02/1974,3
01/02/1975,1
01/02/1976,5
01/02/1978,1
01/02/1979,3
01/02/1980,12
01/02/1981,4
01/02/1983,1
01/02/1984,3
01/02/1985,9
01/02/1986,4
01/02/1987,11
01/02/1988,2
01/02/1989,14
01/02/1990,18
01/02/1991,40
01/02/1992,21
01/02/1993,6
01/02/1995,20
01/02/1996,101
01/02/1997,72
01/02/1998,131
01/02/1999,7
01/02/2000,4
01/02/2001,69
01/02/2002,77
01/02/2003,101
01/02/2004,75
01/02/2005,1
01/02/2006,3
01/02/2007,11
01/02/2008,85
01/02/2009,126
01/02/2010,2
01/02/2011,8
01/02/2012,19
01/02/2013,103
01/02/2014,149
01/02/2015,158
01/02/2016,6
01/02/2017,3
01/02/2018,280
01/02/2019,351
01/02/2020,562
01/02/2021,8
01/02/2022,62
01/02/2023,3
01/02/2024,580
01/03/1966,1
01/03/1967,1
01/03/1971,1
01/03/1972,41
01/03/1974,5
01/03/1975,1
01/03/1978,3
01/03/1979,5
01/03/1980,13
01/03/1983,15
01/03/1984,17
01/03/1985,7
01/03/1986,4
01/03/1987,7
01/03/1988,1
01/03/1989,36
01/03/1990,17
01/03/1991,52
01/03/1992,32
01/03/1993,4
01/03/1994,24
01/03/1995,170
01/03/1996,100
01/03/1997,100
01/03/1998,9
01/03/1999,7
01/03/2000,33
01/03/2001,37
01/03/2002,85
01/03/2003,90
01/03/2004,2
01/03/2005,57
01/03/2006,75
01/03/2007,69
01/03/2008,101
01/03/2009,7
01/03/2010,2
01/03/2011,96
01/03/2012,227
01/03/2013,89
01/03/2014,91
01/03/2015,2
01/03/2016,2
01/03/2017,267
01/03/2018,199
01/03/2019,322
01/03/2020,217
01/03/2021,9
01/03/2022,520
01/03/2023,485
