text_phone_exchange,Count
,516284
0,1
000,178275
005,1
009,1
012,1
013,2
014,1
015,1
017,2
018,1
019,2
020,8
021,10
022,9
023,1
024,2
025,5
026,2
027,2
028,10
029,3
030,3
031,2
033,3
034,20
035,3
036,4
037,3
038,6
039,3
040,3
041,11
042,2
043,13
044,2
045,3
047,4
048,7
049,5
050,1
051,1
052,1
054,3
055,1
056,2
058,5
059,6
060,2
061,17
063,7
064,2
065,1
066,2
067,2
068,3
069,4
070,4
071,3
072,3
075,17
076,1
077,3
078,4
079,23
080,5
082,1
083,1
084,2
086,2
087,1
088,1
089,1
091,2
092,1
093,2
094,1
095,1
096,3
099,1
101,3
102,2
107,1
109,2
11,1
110,1
111,2
112,1
114,1
116,2
117,1
118,2
119,3
121,4
122,3
123,5
124,2
125,4
126,3
130,2
131,3
132,4
133,1
135,1
136,1
137,1
140,2
141,1
143,3
144,1
146,1
147,1
148,1
149,2
150,3
151,2
153,1
155,1
160,3
161,1
162,1
163,1
165,1
166,3
167,2
168,1
170,1
174,1
175,2
176,2
177,1
179,1
181,1
182,2
184,2
187,1
188,1
189,1
190,1
191,2
192,1
194,1
197,2
199,3
200,6555
201,2713
202,2173
203,1892
204,3789
205,3152
206,2718
207,5173
208,2789
209,3966
21,1
210,4492
211,10
212,3763
213,5268
214,5010
215,5488
216,1212
217,4522
218,6939
219,2654
220,4325
221,6333
222,2366
223,4324
224,3675
225,2577
226,3977
227,3495
228,2428
229,1288
230,3375
231,4558
232,2990
233,1421
234,1017
235,2013
236,2318
237,833
238,4128
239,2042
24,2
240,2084
241,3138
242,3079
243,2797
244,3188
245,1443
246,1097
247,281
248,2251
249,6857
25,1
250,5344
251,2863
252,1812
253,4603
254,1028
255,2805
256,1729
257,1595
258,3515
259,6136
26,1
260,3271
261,813
262,4141
263,3153
264,1193
265,1756
266,1347
267,1986
268,3384
269,2874
270,276
271,3332
272,1968
273,1315
274,1016
275,1269
276,787
277,1082
278,1116
279,510
280,2313
281,1325
282,3995
283,3413
284,3254
285,3952
286,1689
287,2269
288,2454
289,1396
290,2613
291,1120
292,1077
293,2228
294,2236
295,1822
296,969
297,445
298,534
299,3050
30,1
300,2093
301,533
302,3142
303,1789
304,4717
305,3890
306,1929
307,2481
308,2553
309,2065
310,553
311,4
312,3650
313,3260
314,2844
315,870
316,267
317,2496
318,473
319,481
320,1493
321,2524
322,2140
323,2948
