text_election_code_1,Count
,327985
12897,4
4103,24
4197,4
4296,4
4301,8
4495,2
4505,12
4693,4
4699,7
51804,7
CG,72
CG0003,2
CG0004,2
CG0005,7
CG0007,7
CG0008,2
CG0009,8
CG0010,61
CG0011,17
CG0023,114
CG005,8
CG0104,11
CG012,4
CG0304,12
CG033,3
CG0404,1
CG0408,5
CG0410,1
CG0413,2
CG0504,53
CG06,4
CG08,1
CG10,1
CG1019,3
CG1029,1
CG1030,5
CG11,10
CG1123,1435
CG1179,2
CG12,3
CG1229,1
CG13,12
CG14,31
CG15,36
CG1520,2
CG19,9
CG1989,1
CG1993,37
CG1994,4
CG1995,34
CG1996,1
CG1997,52
CG1998,2
CG1999,59
CG2000,1
CG2001,115
CG2002,1
CG2003,196
CG2004,2
CG2005,919
CG2006,33
CG2007,553
CG2008,13
CG2009,829
CG2010,100
CG2011,845
CG2012,39
CG2013,1000
CG2014,65
CG2015,1310
CG2016,13
CG2017,1987
CG2019,3369
CG2021,10147
CG2023,322977
CG21,348
CG21A,61
CG2209,1
CG2250,7
CG2259,3
CG2269,1
CG2270,7
CG2288,2
CG2289,6
CG23,4862
CG294B,528
CG3105,17
CG3204,3
CG3210,2
CG3293,1
CG3299,7
CG401,1
CG403,1
CG404,1
CG405,12
CG4103,136
CG4197,72
CG4202,8
CG4291,9
CG4296,3
CG4301,90
CG44,4
CG4400,13
CG4406,3
CG4489,4
CG4495,26
CG4505,459
CG4604,8
CG4693,16
CG4699,73
CG4792,1
CG4798,4
CG48,5
CG499,1
CG510,8
CG5404,2
CG5704,6
CG5923,89
CG604,1
CG6139,1
CG6491,2
CG6496,2
CG6705,8
CG7139,1
CG7189,5
CG8299,2
CG8597,1
CG9149,3
CG9304,2
CG9504,1
CG956,8
CG964,6
CG9704,7
CG973,1
CG9804,1
CG985,3
CG9904,5
CG993,14
CGAP,7
CGCE06,1
CGCG,7
CGCG10,2
CGFR,1
CGG,1
CGHB06,2
CGNE,4
CGS,12
CGS06,7
CP 23,71
CP0005,4
CP0007,1
CP0008,3
CP0010,13
CP0408,1
CP102,4
CP15,1
CP17,4
CP1993,4
CP1994,1
CP1995,4
CP1997,10
CP1999,14
CP2000,3
CP2001,7
CP2003,38
CP2004,1
CP2005,35
CP2006,6
CP2007,66
CP2008,1
CP2009,34
CP201,1
CP2010,8
CP2011,63
CP2013,70
CP2014,2
CP2015,93
CP2017,221
CP2019,285
CP2021,934
CP2023,8158
CP23,8
CP296,2
CP381,24
CPG 21,15
CPMN06,1
CPNC15,1
CPST08,1
GN1129,1
GN1149,5
GN1160,19
GN1180,12
GN1980,1
GN1984,2
GN1986,16
GN1988,48
GN1990,23
GN1992,1400
GN1994,406
GN1996,1859
GN1998,740
GN2000,3622
GN2002,1117
GN2004,7949
GN2006,1841
GN2008,18570
GN2010,4111
GN2012,22545
GN2014,6874
GN2016,42340
GN2018,30860
GN2020,263416
GN2022,516696
GN4197,16
GN4202,1
GN4301,17
GN4495,3
GN4693,5
GN4699,15
GN4798,3
MB#383,120
MB/SP,8
MB0108,80
MB0110,11
MB0112,121
MB0114,2
MB0115,148
MB0116,218
MB0120,417
MB0121,3656
MB0123,6396
MB0211,11
MB0215,9
MB0216,55
MB0219,2
MB0315,32
MB0320,23
MB0322,1450
MB0412,751
MB0414,183
MB0416,2
MB0423,8393
MB0424,4995
MB0506,25
MB0508,25
MB0513,10
MB0516,59
MB0517,202
MB0518,427
MB0519,527
MB0607,17
MB0611,27
MB0613,156
MB0615,68
MB0616,209
MB0618,179
MB0619,122
MB0622,76
MB0623,14698
MB0711,10
MB0719,24
MB0807,3
MB0823,1850
MB0830,58
MB0907,24
MB0915,18
MB0916,56
MB0917,43
MB0918,276
MB0919,450
MB0921,73
MB0922,178
MB1007,68
MB1013,206
MB1107,33
MB1109,2
MB1113,193
MB112,1
MB1205,215
MB1211,13
MB1213,15
MB1301,25
MB1302,69
MB1501,63
MB15B,4
MB1601,13
MB17,164
MB1701,77
MB17LA,86
MB1901,167
MB1995,8
MB2000,3
MB2005,17
MB2006,46
MB2007,88
MB2008,40
MB2009,199
MB2010,37
MB2011,14
MB2012,40
MB2013,283
MB2014,299
MB2015,805
MB2016,353
MB2017,223
MB2018,130
MB2019,435
MB2020,297
MB2022,1100
MB2023,7
MB2024,4134
MB229,194
MB231,43
MB232,51
MB233,155
MB242,3
MB263,19
MB274,1
MB293,4
MB305,329
MB3408,41
MB360,14
MB368,56
MB383,3
MB394,36
MB396,12
MB402,100
MB415,3
MB416,26
MB437,99
MB4604,2
MB464,39
MB468,5
MB490,78
MB501,260
MB509,4
MB5116,48
MB512,280
MB5398,17
MB5410,15
MB5411,15
MB6115,123
MB615,41
MB6215,18
MB9410,1
MBAL06,4
MBAU06,6
MBAUG,50
MBBE07,46
MBBE09,23
MBD423,33
MBHD07,14
MBMV06,11
MBNCO,1
MBOCA,5
MBPC09,13
MBREC,6
MBS437,2
MBS615,1
MBSB09,7
MBSD07,37
MBSE09,2
MBSLS,2
MBST06,40
MBST17,31
MBSWD,4
PP0001,1
PP1992,1
PP2024,130981
PR051,2
PR1988,1
PR1990,5
PR1992,6
PR1994,45
PR1996,89
PR1998,123
PR2000,170
PR2002,267
PR2004,291
PR2006,184
PR2008,262
PR2010,616
PR2012,690
PR2014,475
PR2016,933
PR2018,1434
PR2020,3463
PR2022,129219
PR2024,4
PR2250,7
PR2259,4
PR2270,3
PR2289,2
PR3105,4
PR3204,1
PR3293,2
PR3299,1
PR3398,1
PR8200,1
PR991,1
SP,32
SP 389,16
SP000,9
SP0002,2
SP0004,2
SP0006,1
SP0007,10
SP001,7
SP0012,2
SP0014,1
SP002,4
SP01,5
SP0101,7
SP0103,4
SP011,11
SP0111,3
SP0112,72
SP012,2
SP0121,1
SP0125,126
SP013,6
SP015,2
SP0197,1
SP02,1
SP0202,2
SP021,9
SP0217,3
SP0218,25
SP0219,1
SP0222,3
SP0223,54
SP023,25
SP024,1
SP0293,1
SP0297,1
SP0299,4
SP0301,3
SP0302,15
SP0305,1
SP0306,2
SP0316,2
SP033,54
SP034,2
SP0388,7
SP0394,2
SP0401,3
SP0403,3
SP0405,16
SP0406,1
SP0408,2
SP0410,20
SP0417,7
SP0419,25
SP0421,33
SP0423,18
SP0425,30
SP043,40
SP0489,16
SP0493,83
SP0497,1
SP0499,1
SP0501,1
SP0503,23
SP0505,21
SP051,72
SP0510,13
SP0512,4
SP0514,586
SP0517,15
SP052,12
SP0523,474
SP0524,9036
SP054,10
SP057,16
SP0599,6
SP06,5
SP0606,3
SP0607,16
SP0614,2
SP0616,2
SP0623,315
SP0688,1
SP0693,2
SP0709,7
SP0711,3
SP0717,8
SP0718,2
SP0723,125
SP08,13
SP0801,5
SP0802,4
SP0805,6
SP0813,1
SP0815,1
SP0819,35
SP0820,12
SP0821,29
SP0822,203
SP0823,878
SP0830,74
SP0901,15
SP0904,2
SP0905,2
SP0906,2
SP0997,2
SP09EL,5
SP1,2
SP10,5
SP100,1
SP1009,10
SP101,1
SP1014,30
SP1017,3
SP1018,11
SP1019,1
SP1020,4
SP1022,16
SP1023,97
SP1025,1
SP1031,7
SP105,43
SP1070,2
SP1090,1
SP1105,4
SP1109,1
SP1112,15
SP1113,6
SP1115,21
SP1116,2
SP112,62
SP1123,1
SP1129,5
SP114,11
SP1160,7
SP1199,1
SP1205,3
SP1209,1
SP1210,6
SP1213,1
SP1214,2
SP1215,4
SP1218,5
SP1219,2
SP1250,2
SP1270,1
SP1289,6
SP1299,1
SP1300,7
SP1319,4
SP14,5
SP1401,2
SP14MU,1
