polling_place_text_name,Count
-wilson County Courthouse - Townships,1019
01 Lawrence-Douglas County Health Department,780
01/02 McKenzie Center,1516
02/03/07 Carnegie Building,2381
03/04 Carver Center,1368
04/05/42 Doubletree Hotel - Convention Center,2674
05 St Johns Msn Bapt Ch,1721
06 First Presbyterian Ch,1019
06/13 American Legion,2134
07/08 Kenwood Hall,2521
08/40 Trinity Lutheran Church,1828
09/21 University Community of Christ Church,1246
1 Fairgrounds. -Pct. 4 & 5,2029
10 Burge Union,344
10 Fairgrounds - Pct. 23 & 23 Ex,1551
10 VFW Building,1636
11 Christ Covenant Reformed Presbyterian Church,863
11 Fairgrounds - Pct. 24 & 25,1682
11/12/13 Trinity Lutheran Ch Hl,1352
"12 Fairgrounds - Pct. 26, 26 Ex & 29",1149
12/23/24 First Baptist Church,3030
12th Street Community Center,3966
13 Fairgrounds - Pct. 30 & 31,1153
"14 Fairgrounds - Pct. 32, 33 & 35",789
14 First Baptist Church,942
14/17 First Presbyterian Church,3546
"15 Fairgrounds - Pct. 1, 2 & 3",1560
15 Immanuel Lutheran Church,1375
15/21/22 First Ch of the Nazarene,2300
151st Street Church of Christ,3550
16- Fairgrounds- Pct. 27 & Clay North,1345
16/27 First Covenant Ch,1471
16/46 Arterra Event Gallery,3359
17 Church of the Cross,2432
18/19/20 St Mary's Parish Center,3232
18/48 Rev City Church,3196
19 Brandon Woods - Smith Center,1304
1st Baptist Church,954
1st Southern Baptist,1076
"2 Fairgrounds - Pct. 6, 7 & 8",1831
20/71 First Southern Baptist Church,3691
22/76 Connect Church,1473
23 Ray Avenue Baptist Ch,1347
24/28/29 Trinity United Meth Ch,2015
24th District Courthouse,1925
25/26 Central United Methodist Church,1572
25/26 Redeemer Lutheran Ch,1665
27/28 Redemption Hill Church,1694
29 Checkers Food Store,879
3 Fairgrounds - Pct. 9 & 10,1999
30/31 Sa Area Tech College,1557
30/32 Dg Co Human Services Building,1921
31 Southside Church of Christ,1099
33 Vintage Church,830
