polling_place_text_address2,Count
,1912710
1000 W Patterson,3754
1715 210 Road,1838
2000 N Poplar,2029
2000 N. Poplar,20645
228 Main,1826
309 Lake Ave.,6711
403 S Pesavento Ave,1275
520 Washington St.,119
530 SW Tuffy Kellogg Dr,1481
616 2nd Street,879
"Chanute, KS 66720",5064
East Door,315
EMS Building,1566
Fire Building,316
Harveyville,419
Maple Hill,854
McFarland,261
Meadowlark Building,2905
Ness City,1925
NEW POLLING LOCATION!!,3072
North Entrance,2332
Paxico,758
Photo ID required when voting,463
PO Box 446,1468
South Main Doors,899
