polling_place_text_zip5,Count
,15084
66002,9335
66006,6627
66007,9090
66010,338
66012,5220
66013,3284
66014,340
66015,512
66016,442
66017,563
66018,5824
66020,2992
66021,1936
66023,663
66024,696
66025,5368
66026,462
66030,10540
66031,6244
66032,2914
66033,692
66035,754
66036,1135
66039,484
66040,2751
66041,603
66042,480
66043,7867
66044,16687
66046,13046
66047,10940
66048,22644
66049,26218
66050,1239
66052,3499
66053,6431
66054,1269
66056,1612
66058,567
66060,583
66061,44183
66062,57585
66064,4284
66066,1468
66067,12066
66070,1899
66071,10105
66072,692
66073,1785
66075,1379
66076,1322
66078,587
66079,593
66080,540
66083,8998
66085,7824
66086,8434
66087,1272
66088,1261
66090,1461
66091,593
66092,2226
66093,437
66094,154
66095,921
66097,794
66101,2989
66102,14418
66103,5790
66104,13822
66105,3264
66106,14460
66109,15369
66111,2992
66112,13371
66202,19725
66203,14694
66204,11309
66205,10074
66206,8903
66207,14123
66208,14050
66209,2715
66210,15198
66211,6450
66212,30137
66213,23726
66214,4829
66215,17045
66216,12966
66217,11604
66218,5600
66219,14563
66221,14234
66223,18119
66224,24820
66226,14996
66227,10583
66402,2369
66403,557
66404,511
66406,320
66408,563
66409,1586
66411,1405
66413,1438
66414,1826
66415,515
66416,376
66417,397
66418,507
66419,438
66420,808
66425,1248
66427,1027
66428,291
66429,1028
66431,419
66434,3001
66436,3472
66439,1809
66440,1686
66441,18213
66449,546
66451,1832
66501,261
66502,27699
66503,9258
66507,854
66508,3577
66509,1745
66510,1264
66512,2615
66514,1273
66516,252
66517,2768
66520,643
66521,1225
66523,2780
66524,2984
66526,758
66531,838
66532,495
66533,1233
66534,2461
66535,3069
66536,2963
66537,813
66538,2288
66539,2640
66540,387
66541,244
66542,3566
66546,716
66547,4935
66549,1206
66550,378
66552,365
66554,918
66603,1483
66604,15571
66605,13866
66606,7326
66607,2650
66608,3778
66609,2898
66610,2628
66611,7898
66612,2373
66614,19626
66615,4778
66616,3288
66617,6477
66618,5733
66619,1747
66621,1203
66701,9223
66710,1027
66711,340
66712,3001
66713,3475
66716,301
66720,7592
66724,812
66725,4226
66733,1188
66734,417
66736,2122
66738,640
66739,3188
66740,686
66742,1263
66743,3134
66746,340
66748,2005
66749,4511
66753,576
66754,446
66755,976
66757,1691
66762,15577
66763,2927
66767,351
66769,1277
66770,2024
66771,839
66773,1096
66775,279
66776,847
66777,369
66779,591
66781,1122
66783,1826
66801,16235
66830,344
66833,328
66835,983
66839,2750
66840,235
66842,418
66845,1838
66846,2334
66849,451
66851,422
66852,670
66853,410
66854,524
66857,808
66858,531
66860,869
66861,2196
66864,725
66865,861
66866,973
66868,300
66871,758
66872,637
66901,4012
66933,269
66935,1746
66936,412
66937,538
66938,644
66939,533
