district_kr,Count
KR0001,18153
KR0002,17406
KR0003,15577
KR0004,19249
KR0005,17230
KR0006,17802
KR0007,15961
KR0008,17391
KR0009,16573
KR0010,14398
KR0011,15332
KR0012,16423
KR0013,14946
KR0014,18792
KR0015,12171
KR0016,18374
KR0017,18782
KR0018,17937
KR0019,19957
KR0020,20573
KR0021,19969
KR0022,16572
KR0023,16407
KR0024,17300
KR0025,20597
KR0026,18723
KR0027,20214
KR0028,17870
KR0029,17705
KR0030,16324
KR0031,12610
KR0032,8664
KR0033,15360
KR0034,10974
KR0035,13021
KR0036,16787
KR0037,12926
KR0038,18241
KR0039,17740
KR0040,15532
KR0041,11977
KR0042,16888
KR0043,15470
KR0044,17305
KR0045,18299
KR0046,12002
KR0047,17139
KR0048,17555
KR0049,17526
KR0050,17037
KR0051,16182
KR0052,17824
KR0053,15563
KR0054,16598
KR0055,14080
KR0056,15921
KR0057,12193
KR0058,13031
KR0059,16509
KR0060,13902
KR0061,15244
KR0062,16385
KR0063,16510
KR0064,13824
KR0065,13260
KR0066,10261
KR0067,16001
KR0068,12304
KR0069,15432
KR0070,16707
KR0071,17115
KR0072,15725
KR0073,14875
KR0074,15132
KR0075,15755
KR0076,17238
KR0077,17497
KR0078,16998
KR0079,15761
KR0080,14772
KR0081,13283
KR0082,16480
KR0083,13342
KR0084,14116
KR0085,17886
KR0086,12850
KR0087,17333
KR0088,15480
KR0089,14878
KR0090,17108
KR0091,18069
KR0092,14864
KR0093,15951
KR0094,16949
KR0095,12441
KR0096,12103
KR0097,14627
KR0098,13125
KR0099,18139
KR0100,17668
KR0101,17208
KR0102,14816
KR0103,10249
KR0104,17392
KR0105,15047
KR0106,16378
KR0107,16158
KR0108,18417
KR0109,15983
KR0110,16569
KR0111,16101
KR0112,14535
KR0113,16354
KR0114,16075
KR0115,15499
KR0116,15947
KR0117,19347
KR0118,16435
KR0119,9971
KR0120,16241
KR0121,16534
KR0122,12260
KR0123,13887
KR0124,13581
KR0125,11848
