district_pt,Count
 ,1441946
PT0,2612
"PT0,PT001,PT002,PT003,PT004",5644
"PT0,PT005,PT006,PT007,PT008",3261
"PT0,PT009,PT010,PT011,PT012",1938
"PT0,PT013,PT014,PT015,PT016",1651
"PT0,PT017,PT018,PT019,PT020",1180
"PT0,PT021,PT022,PT023,PT024",1795
"PT0,PT025,PT026,PT027,PT028",1624
"PT0,PT029,PT030,PT031,PT032",1386
"PT0,PT033,PT034,PT035,PT036",2561
"PT0,PT041,PT042,PT043,PT044",3514
"PT0,PT053,PT054,PT055,PT056",657
"PT0,PT065,PT066,PT067,PT068",1670
"PT0,PT077,PT078,PT079,PT080",3056
"PT0,PT081,PT082,PT083,PT084",1929
"PT0,PT085,PT086,PT087,PT088",731
"PT0,PT089,PT090,PT091,PT092",1873
"PT0,PT093,PT094,PT095,PT096",312
"PT0,PT097,PT098,PT099,PT100",380
"PT0,PT101,PT102,PT103,PT104",248
"PT0,PT105,PT106,PT107,PT108",296
"PT0,PT109,PT110,PT111,PT112",220
"PT0,PT113,PT114,PT115,PT116",198
"PT0,PT117,PT118,PT119,PT120",54
"PT0,PT121,PT122,PT123,PT124",125
"PT0,PT125,PT126,PT127,PT128",402
"PT0,PT129,PT130,PT131,PT132",373
"PT0,PT133,PT134,PT135,PT136",390
"PT0,PT137,PT138,PT139,PT140",145
"PT0,PT141,PT142,PT143,PT144",70
"PT0,PT145,PT146,PT147,PT148",214
"PT0,PT149,PT150,PT151,PT152",665
"PT0,PT153,PT154,PT155,PT156",87
"PT0,PT157,PT158,PT159,PT160",517
"PT0,PT161,PT162,PT163,PT164",1920
"PT0,PT165,PT166,PT167,PT168",859
"PT0,PT169,PT170,PT171,PT172",412
"PT0,PT173,PT174,PT175,PT176",871
"PT0,PT177,PT178,PT179,PT180",432
"PT0,PT181,PT182,PT183,PT184",1143
"PT0,PT185,PT186,PT187,PT188",100
"PT0,PT189,PT190,PT191,PT192",573
"PT0,PT193,PT194,PT195,PT196",130
"PT0,PT197,PT198,PT199,PT200",6
"PT0,PT201,PT202,PT203,PT204",1028
"PT0,PT205,PT206,PT207,PT208",408
"PT0,PT209,PT210,PT211,PT212",278
"PT0,PT213,PT214,PT215,PT216",281
"PT0,PT217,PT218,PT219,PT220",262
PT00,11960
PT000,743
PT000010,1348
PT000020,2025
PT00002A,850
PT000030,3295
PT000040,1719
"PT000040,PT000070",210
PT00004A,1334
PT000050,2272
PT00005A,608
PT000060,2315
PT00006A,208
PT000070,2887
PT00007A,562
PT00007B,5
PT000080,3102
PT000090,3238
PT0001,9525
"PT0001,PT0002,PT0003,PT0004",668
PT000100,2587
PT00010A,397
PT000110,2220
PT00011A,519
PT000120,2002
PT00012A,1155
PT000130,1902
PT00013A,1148
PT00013C,5
PT000140,2890
PT00014A,959
PT000150,1230
PT00015A,407
PT000160,423
PT00016A,1698
PT000170,3367
PT000180,1470
PT00018A,1453
PT000190,697
PT00019A,1692
PT0002,1
PT000200,2723
PT00020A,424
PT000210,1626
"PT000210,PTJCW2P8",321
PT000220,2088
PT00022A,138
PT000230,596
PT00023A,2120
PT000240,1512
PT000250,1095
PT000260,1670
PT000270,771
PT00027A,608
PT000280,487
PT000290,185
PT00029A,626
PT0003,26
PT000300,433
PT00030A,420
PT000310,81
PT00031A,705
PT000320,387
PT000330,590
"PT000330,PTJCW3P3",930
PT000340,775
"PT000340,PTJCW3P4",420
PT000350,623
PT000360,680
PT000370,549
PT00037A,371
PT0004,316
PT0005,484
