precinct,Count
Allen|Bassett City|1B,22
Allen|Carlyle Twp|A1,230
Allen|Cottage Grove Twp|A2,165
Allen|Deer Creek Twp|A3,90
Allen|East Elm Twp|A4,133
Allen|Elsmore City|2E,41
Allen|Gas City|3G,328
Allen|Geneva Twp|A6,100
Allen|Humboldt City|4H,1297
Allen|Humboldt Twp|A7,208
Allen|Iola City|5I,3561
Allen|LaHarpe City|6L,309
Allen|Logan Twp|A9,154
Allen|Marmaton Twp|B1,213
Allen|Moran City|8M,314
Allen|North Elsmore Twp|A5,92
Allen|North Iola Twp|A8,196
Allen|Osage Twp|B2,194
Allen|Salem Twp|B3,181
Allen|Savonburg City|9S,58
Allen|South Elsmore Twp|C5,64
Allen|South Iola Twp|C8,402
Allen|West Elm Twp|C4,403
Anderson|Colony City|1101,291
Anderson|Garnett City Prec. 1|2201,812
Anderson|Garnett City Prec. 2|2202,695
Anderson|Garnett City Prec. 3|2203,625
Anderson|Garnett City Prec. 4|2204,194
Anderson|Greeley City|3301,189
Anderson|Indian Creek Twp|IN800,103
Anderson|Jackson Twp|JA900,329
Anderson|Kincaid City|5501,91
Anderson|Lincoln Twp|LIA00,163
Anderson|Lone Elm City|6601,17
Anderson|Lone Elm Twp|LO602,173
Anderson|Monroe Twp|MOB00,259
Anderson|Ozark Twp|OZ102,118
Anderson|Putnam Twp|PUD00,217
Anderson|Reeder Twp|RE402,208
Anderson|Rich Twp|RI502,203
Anderson|Walker Twp|WA302,286
Anderson|Washington Twp|WSF00,212
Anderson|Welda Twp|WEG00,218
Anderson|Westphalia City|7701,91
Anderson|Westphalia Twp|WT702,138
Atchison|Benton 2|A1,172
Atchison|Benton|A1063,162
Atchison|Center|A2,442
Atchison|East Second|120003,548
Atchison|East Third|130003,1113
Atchison|Effingham City|2,329
Atchison|Grasshopper|A3,266
Atchison|Huron City|3,45
Atchison|Huron|A500009,118
Atchison|Kapioma|A4,190
Atchison|Lancaster City|4,191
Atchison|Lancaster|A50001,249
Atchison|Mt. Pleasant|A6,726
Atchison|Muscotah City|5,111
Atchison|North Fifth|150001,1142
Atchison|Only First|11,554
Atchison|Only Fourth|14,805
Atchison|Shannon|A7,995
Atchison|South Fifth|150002,664
Atchison|Walnut Enclave|A800011,6
Atchison|Walnut|A8,366
Atchison|West Second|120004,798
Atchison|West Third|130004,1618
Barber|Aetna Township Prct1|001,7
Barber|Deerhead Township Prct2|002,9
Barber|Eagle Township Prct 3|003,26
Barber|Elm Mills Township Prct4|004,103
Barber|Elwood Township Prct5|005,135
Barber|Hazelton Township Prct6|006,90
Barber|Kiowa East Townshp Prct7|007,405
Barber|Kiowa West Townshp Prct8|008,272
Barber|Lake City Township Prct9|009,57
Barber|Mcadoo Township Prct10|010,18
Barber|Med Lodge Five Prct15|015,42
Barber|Med Lodge Four Prct14|014,170
Barber|Med Lodge One Prct11|011,443
Barber|Med Lodge Three Prct13|013,269
Barber|Med Lodge Two Prct12|012,370
Barber|Mingona Township Prct16|016,62
Barber|Moore Township Prct17|017,48
Barber|Sharon Township Prct20|020,232
Barber|Sun City Township Prct21|021,42
Barber|Turkey Creek Twp Prct22|022,13
Barber|Valley Township Prct23|023,96
Barton|Albion Twp|17,37
Barton|Beaver Twp|18,66
Barton|Buffalo Twp|19,310
Barton|Cheyenne Twp|20,143
Barton|Clarence Twp|21,92
Barton|Cleveland Twp|22,34
Barton|Comanche Twp|23,312
Barton|Eureka Twp|24,72
Barton|Fairview Twp|25,73
"Barton|GBC-P1,W1|01",572
"Barton|GBC-P1,W2|04",955
"Barton|GBC-P1,W3|07",705
"Barton|GBC-P1,W4|10",701
