RegisterYear,Count
20,1
24,1
200,1
202,3
210,1
220,2
222,2
230,2
240,1
1800,20
1801,10
1900,11
1901,207
1902,2
1903,1
1907,1
1908,1
1916,1
1933,1
1941,1
1944,3
1946,3
1948,3
1949,1
1950,5
1951,1
1952,21
1953,2
1954,31
1955,11
1956,111
1957,8
1958,93
1959,32
1960,393
1961,16
1962,182
1963,91
1964,718
1965,61
1966,614
1967,297
1968,1373
1969,142
1970,1027
1971,433
1972,12612
1973,468
1974,4285
1975,1097
1976,7185
1977,1051
1978,6038
1979,2121
1980,10677
1981,1241
1982,5103
1983,3044
1984,14040
1985,2378
1986,10440
1987,5093
1988,20841
1989,4140
1990,15549
1991,7603
1992,46762
1993,6936
1994,27924
1995,21991
1996,51572
1997,24725
1998,35913
1999,22022
2000,43221
2001,16760
2002,30495
2003,21112
2004,82264
2005,23125
2006,32250
2007,23643
2008,81174
2009,25975
2010,44917
2011,32972
2012,79083
2013,30840
2014,46823
2015,43552
2016,112686
2017,48556
2018,107981
2019,83087
2020,193291
2021,81225
2022,164246
2023,93842
2024,53970
2240,1
